Table 1
,This sheet is just to illustrate how one can implement seasonality in Monte Carlo Simulation,,,,,,,,,,,,,,
,In practice one would naturally need a lot of simulations preferably in compiled programming language like C++,,,,,,,,,,,,,,
,"Implementation By Espen Gaarder Haug, Copyright 2006",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,St,Seasonality,St + Seasonality,,,,,,,,
,S,100,,0,100.00,-3.27,103.27,,,,,,,,
,X,100,,1,98.30,-2.84,101.15,,,,,,,,
,,,,2,98.51,-2.41,100.92,,,,,,,,
,dt,0.00273972602739726,,3,98.11,-1.97,100.08,,,,,,,,
,v,15.0%,,4,98.95,-1.54,100.48,,,,,,,,
,Kappa,0.1,,5,98.22,-1.11,99.32,,,,,,,,
,Theta,100,,6,98.28,-0.68,98.96,,,,,,,,
,Beta,1,,7,99.02,-0.25,99.27,,,,,,,,
,,,,8,98.62,0.18,98.44,,,,,,,,
,BetaA,2,,9,98.09,0.60,97.49,,,,,,,,
,BetaSA,3.5,,10,97.72,1.02,96.70,,,,,,,,
,tA,0.2,,11,98.38,1.44,96.94,,,,,,,,
,tSA,0.5,,12,98.26,1.85,96.41,,,,,,,,
,,,,13,99.82,2.26,97.56,,,,,,,,
,,,,14,99.07,2.66,96.41,,,,,,,,
,,,,15,97.59,3.06,94.53,,,,,,,,
,,,,16,97.52,3.45,94.07,,,,,,,,
,,,,17,99.32,3.83,95.49,,,,,,,,
,,,,18,99.23,4.20,95.03,,,,,,,,
,,,,19,100.69,4.57,96.11,,,,,,,,
,,,,20,100.22,4.93,95.29,,,,,,,,
,,,,21,100.25,5.29,94.96,,,,,,,,
,,,,22,100.97,5.63,95.34,,,,,,,,
,,,,23,101.84,5.96,95.87,,,,,,,,
,,,,24,102.23,6.29,95.94,,,,,,,,
,,,,25,102.25,6.61,95.64,,,,,,,,
,,,,26,101.86,6.91,94.95,,,,,,,,
,,,,27,102.33,7.21,95.13,,,,,,,,
,,,,28,103.37,7.49,95.87,,,,,,,,
,,,,29,101.91,7.76,94.15,,,,,,,,
,,,,30,101.11,8.03,93.09,,,,,,,,
,,,,31,101.55,8.28,93.27,,,,,,,,
,,,,32,101.09,8.52,92.57,,,,,,,,
,,,,33,102.17,8.74,93.43,,,,,,,,
,,,,34,101.46,8.96,92.51,,,,,,,,
,,,,35,102.05,9.16,92.89,,,,,,,,
,,,,36,102.10,9.35,92.76,,,,,,,,
,,,,37,101.12,9.52,91.60,,,,,,,,
,,,,38,101.55,9.69,91.86,,,,,,,,
,,,,39,99.51,9.84,89.67,,,,,,,,
,,,,40,100.04,9.97,90.07,,,,,,,,
,,,,41,99.09,10.10,89.00,,,,,,,,
,,,,42,97.04,10.20,86.84,,,,,,,,
,,,,43,97.67,10.30,87.36,,,,,,,,
,,,,44,97.17,10.38,86.79,,,,,,,,
,,,,45,96.92,10.45,86.47,,,,,,,,
,,,,46,96.98,10.51,86.47,,,,,,,,
,,,,47,96.85,10.55,86.30,,,,,,,,
,,,,48,97.57,10.57,87.00,,,,,,,,
,,,,49,97.28,10.59,86.69,,,,,,,,
,,,,50,96.23,10.59,85.65,,,,,,,,
,,,,51,96.76,10.57,86.19,,,,,,,,
,,,,52,96.49,10.54,85.95,,,,,,,,
,,,,53,97.47,10.50,86.96,,,,,,,,
,,,,54,97.83,10.45,87.38,,,,,,,,
,,,,55,99.10,10.38,88.72,,,,,,,,
,,,,56,99.21,10.30,88.92,,,,,,,,
,,,,57,96.52,10.20,86.31,,,,,,,,
,,,,58,95.51,10.09,85.42,,,,,,,,
,,,,59,96.09,9.97,86.12,,,,,,,,
,,,,60,96.39,9.84,86.55,,,,,,,,
